text,true_category,word_count
well we got some responses and are doing some interviews with interesting responders however just in case the other posting was overlooked by an incredibly talented person mea culpa for posting this here for mike but we re looking for someone special tandem computers is currently looking for a software wizard to help us architect implement a fault tolerant generalized instrumentation subsystem as part of our proprietary operating system kernel tns kernel the tns kernel is a proprietary loosely coupled parallel message based operating system the tns kernel has wide connectivity to open standards in this key individual contributor role you will work with other developers working on various components of the transaction management facility your background needs to encompass some of the following categories of would be excellent category math working knowledge of statistics real analysis as used in experimental physics or chemistry or in engineering category working knowledge of telemetry issues i e time series autocorrelation and statistical correlation of data streams category integration test instrumentation of systems under test i e payloads flight modules etc category software engineering programming skills algorithms and systems software techniques,sci.space,188
wrote in response to article galaxy ucr edu raffi watnxt ucr edu ic there are some armenians here in the usa ic in fact there are some areas where armenians are majority ic suppose a large group of people of one of such area decides ic that the us government is not representing their interests and vote for ic seperation from the usa the armenians you refer to have chosen to come to the united states lawfully and peacefully however if armenians invade the united states and force americans to either flee or become armenians it will not succeed similarly the armenians of karabakh are being forced by azerbaijan to either become azeris or leave and it also will not succeed as has been demonstrated karabakh irrespective of its geographic position situated technically within the stalin prepared borders of azerbaijan has been long oppressed and eventually was invaded in by azeri omon and soviet forces resulting in the northern third of this armenian area being depopulated of armenians the armenians have been fighting back ever since clearly you feel it rather ridiculous for armenians of let s say glendale california to engage in an independence movement for a free and independent glendale similarly the azerbaijanis are engaging in a losing attempt at claiming sovereignty over the land and people of karabakh who have lived continuously in karabakh a thousand years before the first central asian invaders ever stepped foot in the caucasus ic should they get it ic and should the un enforce their will ic and is it a simple beautiful concept indeed your analogy has broken down because you have switched positions of the victim and invader a better analogy would be the direct parallel between armenians of karabakh and native americans now if you wish we can discuss the tenets of might versus right and the policies of settler nations,talk.politics.mideast,313
when i left it was blues with to go as i predicted in i was right in the first place blues in yes of course it s only one game that could be the hawks stab in the face to wake them up that s what playoffs are about on any given day,rec.sport.hockey,53
does anyone know of any studies done on the long term health effects of a man s vasectomy on his female partner i ve heard of no studies but speculation why on earth would there be any effect on women s health that s about the most absurd idea i ve heard since ted kaldis s claim that no more than people would march on washington ok one point greatly reduced chance of pregnancy but that s it josh well there might be another since i m sterile my wife can enjoy sex without fear of getting pregnant,sci.med,98
a friend of mine has a trouble with her ears ringing the ringing is so loud that she has great difficulty sleeping at night she says that she hasn t had a normal night s sleep in about months she looks like it too this is making her depressed so her doctor has put her on anti depressants the ringing started rather suddenly about months ago she is quickly losing sleep social life and sanity over this does anyone know of any treatments for this any experience coping mechanisms any opinions on the anti depressant drugs,sci.med,96
well lets see i took a class on this last fall and i have no notes so i ll try to wing it here s how i understand it remember from stellar evolution that black holes and neutron stars pulsars are formed from high mass stars m star m sun high mass stars live fast and burn hard taking appoximately years before going nova or supernova in this time they don t live long enough to get perturbed out of the galactic plane so any of these if assumed to be the sources of grb s will be in the plane of the galaxy then we take the catalog of bursts that have been recieved from the various satellites around the solar system pioneer venus has one either pion or ginga and of course batse and we do distribution tests on our catalog these tests all show that the bursts have an isotropic distribution evenly spread out in a radial direction and they show signs of homogeneity i e they do not clump in any one direction so unless we are sampling the area inside the disk of the galaxy we are sampling the universe not cool if you want to figure out what the hell caused these things now i suppose you are saying well we stil only may be sampling from inside the disk well not necessarily remember we have what is more or less an interplanetary network of burst detectors with a baseline that goes waaaay out to beyond pluto pioneer so we should be able with all of our detectors de tect some sort of difference in angle from satellite to satellite here s an analogy you see a plane overhead you measure the angle of the plane from the origin of your arbitrary coordinate system one of your friends a mile away sees the same plane and measures the angle from the zero point of his arbitrary system which is the same as yours the two angles are different and you should be able to triangulate the position of your burst and maybe find a source to my knowledge no one has been able to do this i should throw in why halo and corona models don t work also as i said before looking at the possible astrophysics of the bursts short timescales high energy black holes and pulsars exhibit much of this type of behavior if this is the case as i said before these stars seem to be bound to the disk of the galaxy especially the most energetic of the these sources when you look at a simulated model where the bursts are confined to the disk but you sample out to large distances say mpc you should definitely see not only an anisotropy towards you in all direction but a clumping of sources in the direction of the galactic center as i said before there is none of these characteristics,sci.space,490
as the sharks season came to a close tonight i will start a series of posts trying to revisit the players the trades the moves etc that went through for the sharks for the past season if you are uninterested since i will have the words sharks review in the subject heading in these postings you can kill them i will first try to evaluate how the players did these ratings of course are subject to my own biases but i hope that i can try to be as objective as possible i will evalute players who finished the season with the sharks and or did not play for another nhl team this season thus then let s go to the goaltenders brian hayward season th acquired from minnesota in dispersal draft grade p d it is sad that his career has to come to this dim an end a career that featured sharing three jennings trophies with patrick roy in and it would indeed be unfair for me to do anything but give him a passing grade and skip the letter grading but he had simply been awful on ice this year save for a bright spot or two and even if he had been healthy he would not be any more than the rd string goalie but hayward was a classy individual who also figured in on the sharks first ever victory the rd game of the season last year against the calgary flames as he retires the fans will remember what a good guy he was jeff hackett season rd acquired from n y islanders in expansion draft grade c hackett after deservedly winning the team mvp honors last season simply wasted the year other than a few good spots saves against los angeles almost shutout against tampa bay etc hackett finishing with save percentage and a gaa watched his status go from the team s goalie to bench decoration at the end of the season he was expected early to carry the team along instead he apparently became frustrated but the an early injury that forced him to miss games may have been a contributing factor but upon return he simply wasn t up to the task he may not return next year wade flaherty season st still eligible as rookie acquired signed as undrafted free agent grade i a it is pretty hard to evaluate a goaltender on just one game alone thus the incomplete grade but yet in the one start that he did get against the calgary flames flaherty was nothing but sharp for at least two periods he started the season poorly in kansas city but finished strong prompting the blades owner ron parker to comment that he should be a candidate for the ihl mvp honors the upcoming ihl playoffs would be a major challenge for him as he tries to make it into the nhl last year he was a capable backup for arturs irbe in the throughout the season and in the turner cup playoffs picking up all star honors along with irbe now it s time for him to show that he can share the job with irbe next year because with prospects dan ryder trevor robins and scott cashman coming along if he doesn t make it next year he may not ever arturs irbe season st acquired from minnesota in dispersal draft grade b i may yet be overly critical of irbe in a year that he clearly established that he s a bona fide nhl goaltender perhaps a bona fide goaltender he has provided most of the little highlight footage that the sharks team had getting the team s first ever shut out against the los angeles kings on december he has been fearless in and out of the net aggressively playing the puck and making passes reminding people of a young ron hextall except of course the goonism yet he still needs to develop more consistency which is hard to do with such a bad defense in front of him but if the sharks are to challenge for a playoff spot next season irbe s the key as he demonstrated in being named as a star of the game times in starts,rec.sport.hockey,708
i too think that joseph has had a great year and should be considered for the vezina i think barrasso and joseph should be the two strongest candidates this year i don t believe all of the hype that roy belfour and now potvin receive for their goaltending i do think that they are great in the nets but i would rather have curtis tommy or fuhr in the nets during this years playoffs the big name tenders always seem to have a strong defense in front of them and the goaltenders get the most credit i would rather face shots a game than have to rely on joseph saving but if the goalie is going to face shots i would rather have joseph or barrasso facing them jay ps go quebec and i know that mclean and several others should be mentioned as candidates for this years vezina but i am partial to joseph and barrasso this season,rec.sport.hockey,159
i don t have any evidence against water from lourdes curing ms i m sure there is anecdotal evidence that it does do you really think that in the absence of a double blind study i should be indifferent to the hypothesis that water from lourdes cures ms for what it s worth i know of only one double blind study of nystatin for candida hypersensitivity syndrome it was published in the new england journal i think and showed no benefit on systemic symptoms though i think it reduced vaginal yeast infections not surprisingly as i recall the yeast crowd had some major objections to the study though i don t remember what they were,sci.med,115
the situation in this regard has changed considerably in recent years see the discussion of high power rocketry in the rec models rockets frequently asked questions list this is not hardware you can walk in off the street and buy you need proper certification that can be had mostly through tripoli the high power analog of the nar although the nar is cautiously moving to extend the upper boundaries of what it considers proper too you need special faa authorization but provided you aren t doing it under one of the lax runway approaches or something stupid like that it s not especially hard to arrange as with model rocketry this sort of hardware is reasonably safe if handled properly proper handling takes more care and you need a lot more empty air to fly in but it s basically just model rocketry scaled up as with model rocketry the high power people use factory built engines which eliminates the major safety hazard of do it yourself rocketry,sci.space,168
interesting is rigth i wonder if they will make a mention of her being an astronaut in the credits i think it might help people connect the future of space with the present and give them an idea that we must go into space,sci.space,44
have you ever noticed that after a hockey player has been interviewed in between periods on a tv game that they usually get a goal or an assist can you explain this or is it that they usually talk to stars more than regular players which explains the hight percentage of results after just wondering how everybody else thinks about this or if they dont care about this trivial nonsense ttyl tom,rec.sport.hockey,72
anas of course the yahud needed blood for the matza after all passover was last month why don t you give us your national geographic travelogue of your recent trip to palestine or are you too disappointed by what you saw josh backon vms huji ac il,talk.politics.mideast,47
woops this is rec sport hockey not rec sport golf hope you check the newsgroup header next time before posting steve,rec.sport.hockey,21
in response to a debate about who has has a better season jagr of francis i think jagr did he probably had a better point per minute ice time stats don t exist to properly analyze this and he had a substancially better is a useful statistic if a player is on the ice when his team scores a lot of goals and only allows a few goals he must be doing something right it is especially useful to compare between teammates as they play for the same team and should have roughly similar ratings if they are equally good players it can be adjusted with varying degrees of success to compare between players on different teams i agree it would be nice for the nhl to keep more statistics but how useful are the ones that you suggest total ice time would be very useful it is a missing stat in jagr vs francis arguments from before somehow measuring the quality of ice time as you suggest would be useless it would be a better stat for evaluating coaching ie are the players given quality ice time actually their talented ones a very good player could be given low amounts of quality ice time because of team depth or a stupid coach who doesn t recognize his talent and a very bad player could be given lots of quality ice time because of a lack of team depth or a stupid coach that thinks he is an effective player this stat would be much more flawed than and almost no conclusions could be drawn regarding player talent is a useful stat it is quite useful in evaluating player talent you are the one displaying ignorance because of your unwillingness to see that being on the ice when goals are scored but not when they are allowed is a very positive thing and should be evaluated as such,rec.sport.hockey,318
obviously you really don t know they have spoken out cf sec y of state christopher s recent trip to the me they have provided millions in aid and they have participated in the airlifts to sarajevo they would supply military aid if the un would lift the embargo on arms sales see above kuwait has directly participated in the airlift of food to sarajevo hmm some might say kuwaitis are non white ooops i forgot kuwaitis are oil rich loaded with petro dollars etc so they don t count,talk.politics.mideast,90
one of the local dealers has a used k miles probe gt on the lot with a photocopy of a document taped to the window saying the dealership bought the car back from the previous owner because of engine noises but that the ford district rep had ok ed the car saying those noises were normal i thought it was worth looking into the car seems otherwise clean and mentioned this to a co worker who proceeded to tell me a horror story about her son s probe gt which had several problems ending with engine noises which she said was something with the heads that ford acknowledged the noise said they were working on it but didn t have a cure as of yet her son traded the car in and i checked not the same car so i have some evidence of a reoccuring problem with the v in the probe gt s and by extension with the madza and mx,rec.autos,163
why must it be a us government space launch pad directly i mean i know of a few that could launch a small package into space not including ariadne and the russian sites i know poker flats here in alaska thou used to be only sounding rockets for auroral borealous sp and other northern atmospheric items is at last i heard being upgraded to be able to put sattelites into orbit why must people in the us be fixed on using nasas direct resources poker flats is runin part by nasa but also by the univesity of alaska and the geophysical institute sounds like typical us cultural centralism and protectionism and people wonder why we have the multi trillion dollar deficite sp yes i am working on a spell checker,sci.space,130
linares has not defected as i pointed out mlb requires that the player defect first what a surprise as long as the pool of talent is not accessible to all teams mlb won t let a few teams sign it seems perfectly reasonable to me except that mlb won t allow it which is all i ever said,rec.sport.hockey,58
i d personally prefer buffalo boston as a birthday gift from espn but i don t think the folks at espn will accomodate that for me espn has this inexplicable affinity for the patrick division it seems,rec.sport.hockey,37
for immediate release contact oasis april los angeles ca local national space society chapters sponsor talk by l a advocate of lunar power system as energy source for the world on april the oasis and ventura county chapters of the national space society will sponsor a talk by lunar power system lps co inventor and vice president of the lps coalition dr robert d waldron it will be held at p m at the rockwell science center in thousand oaks ca dr waldron is currently a technical specialist in space materials processing with the space systems division of rockwell international in downey california he is a recognized world authority on lunar materials refinement he has written or coauthored more than articles or reports on nonterrestrial materials processing or utilization along with dr david criswell waldron invented the lunar solar power system concept momentum is building for a coalition of entrepreneurs legal experts and soviet and u s scientists and engineers to build the lunar power system a pollution free energy source with a potential to power the globe for the past three years members of the coalition nearly half from california have rejuvenated the commercial and scientific concept of a solar power system based on the moon the lps concept entails collecting solar energy on the lunar surface and beaming the power to earth as microwaves transmitted through orbiting antennae a mature lps offers an enormous source of clean sustainable power to meet the earth s ever increasing demand using proven basic technology oasis organization for the advancement of space industrialization is the greater los angeles chapter of the national space society which is an international non profit organization that promotes development of the space frontier the ventura county chapter is based in oxnard ca where rockwell science center auditorium camino dos rios thousand oaks ca,sci.space,306
freedom of speech does not mean that others are compelled to give one the means to speak publicly some systems have regulations prohibiting the dissemination of racist and bigoted messages from accounts they issue apparently that s not the case with virginia edu since you are still posting,talk.politics.mideast,48
well i thought it must have been a joke but i don t get the joke in the name read it aloud david macaloon david macalloon david macaloon i don t geddit,sci.space,32
subject re europe vs muslim bosnians from satya prabhakar prabhak giga cs umn edu date wed may gmt bigotry muslims this kind of racialist generalization is utterly inappropriate some bosnian muslims cooperated with the nazis in world war other bosnian muslims risked their lifes to hide jews from the nazis and ustashe and those jews who survived the war remember that in fact the jewish leader in sarajevo has remained there saying he wants to repay the debt to the bosnian muslims that saved so many jewish lives in ww similarly some serbs are doing to muslims now this is a group of serial killers rapists and thieves who have control of the vast yugoslav army arsenal many other serbs oppose these atrocities as one of serbian heritage who condemns emphatically the genocide being carried out against muslims by both hvo and mladic forces i condemn your generalization about bosnian muslims and about serbs this is not a fresh case of every place on earth is the scene of a saga of mutual hatred and destruction the holocaust was not a fresh case it was another chapter in a year history of attacks on jews in europe that didn t make it acceptable and balkan history does not make the genocide against bosnian muslims acceptable not taking sides in this standing by and allowing well armed criminals to slaughter bosnian muslim civilians while enforcing an arms embargo against the bosnian muslims is not only religious bigotry it is direct complicity in mass murder it could just you tell us a region on earth that does have a long history of war nato is the largest military police force in the world it was not helpless it could have stopped the carnage a year ago regards mike,talk.politics.mideast,296
absolute nonsense the decision that was made was pocklington s he chose mill over gretzky if gretzky wasn t upset about not being able to win a cup in la then i submit that he wasn t worth the mill how do you know what he thinks or thought the only thought that i can see that you have revealed is your own you don t like gretzky big deal the real purpose of diving is not merely an attempt to draw a penalty what the player is trying to do is make the checkers keep their distance so the ref won t be fooled i can t imagine why anyone would expect someone like lemieux to change his game why don t you pick on dimensional over rated type like hull and salami,rec.sport.hockey,134
here we are with the sabres up to the bruins and the sabres farm team the rochester amerks on their way to the calder cup urp and what kind of hockey coverage are we getting the same penguins devils every other day crap that everyone else gets what s worse the sportschannel coverage of the islanders appears to be blocked out since we got cba basketball last night if you can believe it i assume the sabres are demanding the sc blackout not espn since we are unbelievably usually considered part of the islanders territory msg coverage of the rangers is blacked out here this despite being a solid seven hours plus from long island does anyone know what grc is doing besides putting their satellite dish up their ass and screwing my reception of channels and did empire demand a fortune for the games what about the games on fox or whatever number it is there in buffalo has anyone phoned to complain besides me george,rec.sport.hockey,167
here in nanaimo on vancouver island for you furriners out there we got the abc coverage on komo it probably depends on your cable company i started off switching between the cbc and abc broadcasts but finally settled on abc i can t stand don whitman and al michaels was doing a decent job he followed the play pretty well knew all the players names and only made a couple of rookie mistakes that i noticed one thing that surprised me is that they never once attempted to explain the offside rule am i paranoid or is this really happening department there were no fights in the game but there were a couple of occasions where it looked like a fight was about to start both times abc cut away to show a closeup of a coach or mcnall or something has abc decided to adopt the spicer policy,rec.sport.hockey,149
i do not know if i am hitting the right news groups or not any help in the right direction is more than welcome i need help finding a company that will take photographic images scanned in and modified by adobe photoshop and turn them into thermal prints or negatives i am looking for a place as close to north carolina as possible the images will be created on a macintosh quadra running adobe photoshop and will then be stored in whatever format the vendor requires perhaps m cartridges the images will be black and white photographs scanned in with a dpi scanner then modified corrected by adobe photoshop if anyone could help me or even give me phone numbers to people who could i would be very grateful also if anyone else is doing what i am planning i would be happy to hear from you with any advice you might provide as to the computer system you use and or any peripherals or software it seemed the quadra would be my best bet to modify photographic images i am planning on buying a quadra with megs of ram a meg hard drive a dpi scanner sony monitor and a meg cartridge drive and perhaps a cd rom i am new to computers and any advice would be great,comp.graphics,220
dn from nyeda cnsvax uwec edu david nye dn briefly this is a condition in which patients who have significant dn residual weakness from childhood polio notice progression of the dn weakness as they get older one theory is that the remaining motor dn neurons have to work harder and so die sooner if this theory were true the muscle biopsy would show group atrophy evidence of acute loss of enlarged motor units it doesn t instead the biopsy shows scattered angulated atrophic fibers this is more consistent with load shedding by chronically overworked motor neurons the neurons survive at the expense of increasingly denervated muscle,sci.med,106
or just stick em on sci space news every days,sci.space,10
probably she meant that your blood pressure went up while you were on the treadmill this is normal you ll have to ask her if this is what she meant since no one else can answer for another person gordon banks n jxp skepticism is the chastity of the intellect and geb cadre dsl pitt edu it is shameful to surrender it too soon,sci.med,64
if i read you right you re saying in essence that with a larger economy nations will have more discretionary funds to waste on a lunar facility that was certainly partially the case with apollo but real lunar colonies will probably require a continuing military scientific or commercial reason for being rather than just a we have the money why not approach it s conceivable that luna will have a military purpose it s possible that luna will have a commercial purpose but it s most likely that luna will only have a scientific purpose for the next several hundred years at least therefore lunar bases should be predicated on funding levels little different from those found for antarctic bases can you put a person base on the moon for million a year even if you use grad students gary,sci.space,140
nice sig like the change btw could you post the names of the people who are going to be on the letter i and i m sure others would like to know if we are included if i m not i want to be roger is a fool,rec.sport.hockey,48
newsgroups sci med path news larc nasa gov saimiri primate wisc edu zaphod mps ohio state edu uwm edu cs utexas edu uunet think com hsdndev spdcc dyer from dyer spdcc com steve dyer organization s p dyer computer consulting cambridge ma references uupcb factory com cup portal com date sat apr gmt lines i remember hearing a few years back about a new therapy for hyperactivity which involved aggressively eliminating artificial coloring and flavoring from the diet the theory which was backed up by interesting anecdotal results is that certain people are just way more sensitive to these chemicals than other people i don t remember any connection being made with seizures but it certainly couldn t hurt to try an all natural diet yeah the feingold diet is a load of crap children diagnosed with add who are placed on this diet show no improvement in their intellectual and social skills which in fact continue to decline of course the parents who are enthusiastic about this approach lap it up at the expense of their children s development so much for the value of interesting anecdotal results people will believe anything if they want to steve dyer dyer ursa major spdcc com aka ima harvard rayssd linus m c spdcc dyer thanks for all the interest in this problem of mine i don t think it is a reaction to sugar or junk food per se since kathryn has never shown any signs of hyperactivity or changes in behavior in response to food she has always been very calm and dare i say a neat smart kid the fact that this happened while eating two sugar coated cereals made by kellog s makes me think she might be having an allergic reaction to something in the coating or the cereals of the four of us in our immediate family kathryn shows the least signs of the hay fever running nose itchy eyes etc but we have a lot of allergies in our family history including some weird food allergies nuts mushrooms anyway our next trip is to an endocrinologist to check out the body chemistry but so far no more sugar coated cereals and no more seizures either every day that goes by without one makes me heave a sigh of relief thanks again,sci.med,386
